id,mass,height,waist,foot,sittingHeight,upperLegLength,kneeHeight,forearmLength,age,gender,handedness,birthOrder
2042,69.6,172.7,73.9,26.9,894,589,539,462,17.452,M,right,2
2043,39.5,154.6,61.5,23.1,762,527,485,420,14.345,M,right,4
2044,51.7,165.9,68.2,24,831,583,527,443,16.243,F,right,1
2045,50.3,167.1,75.7,24.6,870,561,528,446,17.668,F,right,3
2046,72.5,162.9,88,24.9,862,593,540,448,16.339,F,right,1
2047,50,164.4,70.6,23.4,856,565,515,446,16.643,F,right,3
2048,44.7,157.4,72.1,23.1,829,517,467,407,17.868,F,right,7
2049,55.2,162.2,71.9,26.3,800,586,523,469,15.43,F,right,2
2050,19.6,106.2,50.9,17.3,589,352,326,290,4.961,F,right,1
2051,18.2,107.8,48.7,17,583,341,327,281,4.356,M,right,2
2052,23.3,116.6,52.6,19.7,625,375,356,317,4.632,F,right,1
2053,17.4,103.9,49.7,16.5,564,345,330,278,3.972,F,right,1
2054,15.4,93.6,47.1,14.7,552,295,,251,2.854,F,right,2
2055,16.2,105.2,49.6,17.8,552,334,326,295,4.18,F,right,1
2056,17.7,103.3,52.6,16.6,584,327,320,270,3.569,F,right,1
2057,13.6,99.9,44.4,16.1,556,296,308,260,3.939,M,right,
2058,20.3,115.9,52.4,19.5,639,368,369,316,6.498,F,right,
3001,54.2,138.3,85.5,21.9,756,470,434,364,8.482,F,right,2
3002,31.3,129.4,63.6,21.4,681,436,412,338,8.715,F,right,1
3003,28,129.1,56.2,21.7,675,435,402,355,8.241,F,right,1
3004,27,130.3,57.9,20.1,669,443,427,339,8.164,F,right,3
3005,23,119.3,54.8,17.8,652,374,351,304,6.224,F,right,1
3006,43.6,125.3,84.5,19.5,677,469,398,339,6.961,F,right,1
3007,,,,,,,,,5.83,M,right,2
3008,26.5,126.2,61.4,20.5,665,400,393,355,8.315,M,right,10
3009,22.5,140,52,20.3,671,421,422,350,8.369,M,right,1
3010,34.3,130.6,59.7,21.1,686,445,416,349,8.745,M,right,3
3012,24,122.9,52.9,19.6,658,395,386,328,7,M,right,1
3013,26.5,130.9,55.8,22.7,654,418,405,365,6.786,M,right,5
3014,28.8,129.7,53.3,19.3,720,411,392,323,6.846,M,right,4
3015,20.1,118.3,46.5,18.5,639,380,378,320,6.205,M,right,1
3016,20.6,118.4,50.7,18.4,653,371,359,309,6.427,M,right,3
3017,23.5,122.3,50.2,19.1,686,374,371,316,7.638,M,right,2
3019,17.1,110.1,44.4,17.2,576,352,341,304,5.947,M,right,2
3020,18.4,110.4,45.9,18.3,603,346,343,290,5.75,M,right,1
3021,15.6,102.9,46.6,16.5,560,339,303,274,6.071,M,both,1
3022,32.9,123.6,63.1,20.3,677,442,398,348,6.506,M,right,2
3023,26.1,127.5,53.1,21,666,414,396,342,7.361,M,right,1
3024,24.4,128.5,53.8,19.9,648,405,410,347,8.704,M,right,2
3025,27.6,122.2,54.8,20.9,645,414,394,348,7.512,M,right,2
3026,23,123.1,54.2,18.6,667,373,371,309,6.6,M,right,5
3027,17.5,109,49.8,17.1,566,349,326,285,6.654,M,right,4
3028,38.4,141.2,63.6,22.1,725,470,442,380,9.621,M,right,7
3029,22.8,122.1,53.6,19,672,388,379,315,7.621,M,right,2
3030,28,134,55.6,20.4,723,432,416,348,7.961,M,right,1
3031,20.8,119.7,50.4,18.4,642,373,373,317,7.569,M,right,1
3032,20.6,122.8,45.4,18.7,668,382,364,323,7.838,M,right,1
3033,20.7,117.4,52.2,18.1,637,371,364,319,7.397,M,left,1
3034,28,125.3,59.4,19.5,666,417,386,351,6.323,M,right,1
3035,24.3,120.4,56.5,19.8,642,387,366,338,8.254,M,right,2
3036,24.1,131.5,49.8,20.4,714,417,412,352,8.282,M,right,3
3037,28.8,135.6,56.6,21.5,689,443,415,366,8.569,M,right,2
3038,29.4,121.4,63.8,19.3,677,405,369,322,7.254,M,right,1
3039,20.7,113.3,51.1,18.4,639,341,349,299,5.523,M,left,5
3040,21.7,112.9,51.1,18.3,615,363,345,289,5.98,M,right,2
3041,24.5,119.2,50.3,18.7,642,382,363,323,6.912,M,right,1
3042,22.5,124,54.1,19.3,668,391,379,314,7.986,M,right,1
3043,32.8,135.8,58.3,22.3,698,446,435,377,8.789,M,right,1
3044,20.2,122.8,50.9,19.1,671,376,370,323,7.131,F,right,4
3045,25.7,134.3,52.9,19.6,692,424,404,345,8.726,F,left,3
3046,21.4,116.5,51.8,18.8,626,367,323,317,6.09,F,right,2
3047,34.4,133.5,66.4,21.6,670,481,436,370,7.482,F,left,1
3048,21.8,123.7,52.2,,653,403,386,335,7.227,F,right,3
3049,29.9,127,65.3,19.9,658,423,392,339,5.786,F,right,2
3050,18.5,105.3,50.9,17.8,552,360,332,287,5.331,F,right,3
3051,20,117.9,50.8,18.8,608,390,383,320,6.238,F,left,1
3052,24,125.8,53.1,19.2,673,416,358,312,7.441,F,right,1
3053,21.3,112.8,54.1,17.5,630,349,340,311,5.52,M,right,1
3054,13.8,95.7,44.8,14.9,566,289,269,246,3.786,M,right,1
3055,16.5,106.3,46.9,16.5,593,313,317,272,4.846,M,right,1
3056,18.7,109.4,49.3,17.4,558,347,331,288,5.057,M,right,1
3057,16.8,106.2,48.3,16.9,607,311,324,272,4.684,M,both,1
3058,16.2,102.2,48.7,16.1,589,304,306,264,3.731,M,right,1
3059,13.7,98,44.8,15.4,560,297,280,246,3.432,M,right,2
3060,12.7,92.2,41.3,14.5,547,295,272,238,2.852,F,right,1
3061,12.5,94.4,46.2,14.7,510,286,264,249,2.684,F,right,1
3062,18.8,107.5,50.2,16.6,612,341,321,271,4.408,F,both,1
3063,19.3,110.2,50.9,18.1,640,343,322,289,5.679,F,right,1
3064,18.2,110.7,48.1,18,593,334,347,291,4.605,M,both,1
3065,15.3,99,51.4,16,570,304,288,260,4.284,F,right,1
3066,20.9,115.9,55.3,18.2,660,366,361,300,5.964,F,right,1
3067,14.9,94.7,48.2,15.4,544,282,288,249,3.126,M,both,2
4001,21.6,113.3,48,18.3,610,357,346,300,4.441,M,both,1
4002,16.8,105.4,48.2,16.6,566,339,324,275,4.172,F,right,1
4003,23.5,113.1,58.1,18.2,623,371,337,309,4.69,F,right,1
4004,16.7,106.6,50,17,559,355,321,283,4.145,F,right,1
4005,20.4,113.1,52.2,18.2,612,346,350,300,4.43,M,left,1
4006,36,118.6,77.4,18.6,659,412,373,323,4.654,F,left,2
4007,17.7,108.6,49.4,18.1,571,360,333,297,4.597,F,right,1
4008,16.2,102.7,49.1,16.7,578,332,317,282,4.8,F,right,1
4009,16.2,101.4,46.5,15.9,553,328,307,278,4.443,F,right,2
4010,13.9,98.8,45.7,15.4,538,318,289,264,4.03,M,right,1
4011,18,117.6,50.2,18.1,615,368,382,318,5.027,F,right,2
4012,22.7,111.9,58.5,17.1,604,372,336,311,4.432,M,right,1
4013,17.7,103.5,50.7,17.3,591,311,315,270,3.668,M,right,1
4014,15.7,97.2,47.9,15.8,551,289,297,272,3.115,M,left,1
4015,15.1,95,48.1,15.2,550,287,272,254,3.008,M,both,1
4016,19.5,107,51.9,17.6,587,353,344,299,4.076,F,right,1
4017,17.2,112.3,48.8,17.8,595,360,350,302,4.194,F,right,2
4018,19.7,112.6,51.8,18.4,588,368,363,315,4.843,F,right,1
4019,16.7,105.8,48.3,17.6,581,341,320,285,4.643,F,both,1
4020,16.3,108.8,48.2,16.8,584,344,338,299,4.608,F,right,5
4021,16.6,97.6,50.7,15.4,553,307,295,261,4.153,F,right,1
4022,11.4,88.4,46,13.3,514,271,250,240,3.054,F,both,1
4023,18.9,110.6,52.9,17.1,619,344,332,292,5.276,F,right,2
4024,16.8,97.9,53.8,15.1,590,284,281,251,4.901,M,right,
4025,28,133.3,57.8,19.7,729,432,406,346,7.539,M,both,1
4026,21.4,120.7,51.8,18.2,645,387,376,300,8.12,M,right,1
4027,45.7,144.8,72.9,22,760,486,463,382,11.556,M,right,2
4028,72.8,182.9,77.2,27.4,936,618,563,501,17.545,M,right,1
4029,60,175.7,68.4,25.5,954,566,552,465,17.235,M,right,1
4030,49,157.8,68.8,24.2,802,540,498,442,13.038,M,left,1
4031,66,156.2,89.5,23.8,799,534,500,434,14.441,M,right,6
4032,43,162.2,58.5,24.9,835,538,517,440,14.326,M,right,2
4033,56.1,171.5,71.1,26.5,870,572,544,457,15.657,M,right,2
4034,62.7,174.8,71.8,24.8,924,574,532,470,17.991,M,right,1
4035,36,147.9,57,22,751,507,479,387,12.931,M,right,3
4036,26.3,128.5,51.8,19.2,690,415,408,335,7.43,M,right,4
4037,18.8,111.3,51.3,17.6,622,336,356,289,5.402,M,right,1
4038,17.8,109.2,49.3,17.5,599,347,319,271,4.78,F,right,1
4039,49,158.5,69.2,25.3,817,532,503,435,14.375,M,right,6
4040,49,162.8,64,25.2,799,584,522,455,14.912,M,right,3
4041,53.6,167.7,69,27.1,851,556,575,467,13.863,M,right,5
4042,54.6,173.8,70.8,28.1,857,594,596,469,14.241,M,right,3
4043,32.8,148.1,59.7,23.3,757,481,465,389,11.734,M,right,2
4044,16.3,105.4,49.8,16.1,618,330,305,270,3.953,M,right,1
4045,23.2,119.8,55.6,18.9,659,368,384,324,5.531,M,right,2
4046,37.4,151.4,61,23.3,785,496,474,417,12.594,F,left,3
4047,25.4,125.1,56.5,18.8,687,389,385,326,7.38,F,left,1
4048,17.6,115.9,46.3,17.3,654,364,359,297,7.808,F,right,2
4049,29.8,134.3,57.1,19.8,722,434,430,350,9.512,F,right,1
4050,33,142.7,55.7,20.6,762,453,455,365,9.819,F,right,3
4051,32.4,142.2,59.1,22.2,748,469,450,372,10.92,F,right,6
4052,34,140.9,59.6,21.3,737,466,457,363,10.641,F,right,2
4053,39.3,147.2,62.9,23,773,500,465,395,11.901,F,right,1
4054,29.4,133.4,60.9,20.8,707,443,433,357,11.389,F,right,2
4055,22.5,125.4,52.3,20.3,660,420,390,342,9.476,F,right,4
4056,34.2,135.7,59.2,19.6,742,422,422,337,9.682,F,right,2
4057,17,113.3,50.1,17,629,360,340,300,5.69,F,right,2
4058,22,118.6,51.1,18.2,635,399,360,316,7.523,F,left,2
4060,18.7,115.4,48.6,18.4,622,,357,,5.72,F,right,3
4061,16.3,106.3,50,17.3,609,,321,,6.153,F,right,1
4062,47,155.1,64.4,23.5,823,521,476,410,11.89,F,right,2
4063,42.8,154.6,65.3,24,794,541,484,403,11.841,F,right,4
4064,20,113.8,51.3,17.7,635,359,352,282,7.068,F,right,2
4065,17.4,111.4,46.7,16.2,615,359,342,295,6.336,F,right,3
4066,27.4,128.5,54,20.7,688,429,408,335,8.517,F,right,1
4067,30.5,135,59.8,21.3,703,467,429,360,8.69,F,right,2
4068,20.3,116.6,53.2,18,,361,360,306,5.52,F,right,5
4069,18.1,105.2,51.2,16.3,600,334,320,273,5.189,F,right,1
4070,25.6,130.8,53.4,20.3,691,422,408,329,9.008,F,left,2
5001,18.6,108.9,51.6,17,613,337,319,294,4.789,M,right,1
5002,26.3,121.3,58.4,20.1,637,388,377,325,7.213,M,right,3
5003,43.3,160.2,58.5,23.1,848,548,507,431,13.199,F,right,1
5004,44.9,149.7,64,21.8,784,507,473,396,11.323,F,right,2
5005,11.3,84.6,45.7,12.3,517,268,251,221,2.073,F,right,1
5006,24.3,128.2,53.7,21.2,695,418,402,344,6.257,M,right,1
5007,16,98.3,47.9,15.4,550,305,301,265,3.126,M,right,2
5008,26,134.4,53,21.3,718,433,427,365,9.906,F,left,1
5009,22.4,118.1,55.6,17.8,647,400,351,310,8.276,F,right,1
5010,16.5,102.5,48.4,15.8,592,317,285,261,5.101,F,right,2
5011,50.9,158,70.1,23.2,823,532,497,425,14.073,F,right,9
5012,42.7,153.6,62.3,23.7,813,505,481,405,13.854,F,right,1
5013,35.9,136.6,63.9,22.8,737,449,426,359,10.038,F,left,2
5014,29.2,132.8,60.5,20.7,671,445,429,365,11.964,M,both,1
5015,13.8,85.8,47.6,14.2,527,272,243,230,2.238,F,both,1
5016,18.1,111.3,49.8,18.1,620,342,355,302,4.504,M,right,2
5018,30.4,141.8,56.7,22.1,728,465,456,372,9.652,M,right,2
5019,32.5,132.2,60.9,21.3,702,440,422,354,9.953,M,right,2
5020,29.3,136.8,56.3,21.1,711,451,421,352,10.386,M,right,1
5021,18.2,111.9,47.2,16.8,632,353,331,284,7.61,M,right,4
5022,49.9,138.7,83.8,21.3,750,471,443,355,8.019,M,left,1
5023,30.1,123.4,66.8,19.3,697,402,374,329,8.104,M,right,1
5024,48.3,153.6,73.7,24.7,782,525,499,427,11.076,M,right,2
5025,31.6,135.1,59,21.9,710,452,433,363,10.657,M,left,
5026,40,130.6,79.3,21.3,694,461,434,353,10.358,M,right,2
5027,41,137.4,74.3,20.4,701,476,411,349,10.843,M,right,2
5028,39.1,147,66.5,23.7,775,477,459,389,10.506,M,right,1
5029,31,132,60,20.8,691,450,415,352,8.608,M,left,1
5030,24.5,131.5,52.6,19.5,675,428,423,336,9.093,M,right,4
5031,26.5,134.9,52.4,22.8,688,442,428,390,8.515,M,left,2
5032,20,116.4,51.1,18.3,646,357,366,305,6.167,M,right,3
5033,19.9,110.9,49.9,17.8,616,349,335,292,5.947,M,right,2
5034,27,126.8,58.4,19.6,699,402,396,322,7.238,M,right,1
5035,27.8,121.1,58.7,19.9,674,397,375,337,6.399,M,right,3
5036,26.1,122.6,57.8,18.8,667,389,382,310,7.284,M,right,3
5037,19.1,114.8,52,17.4,610,358,356,316,5.841,M,right,3
5038,23.4,116.1,55.1,18.8,653,367,346,327,5.306,M,right,1
5039,19.2,119.9,52.7,18.5,628,384,373,319,6.964,M,right,1
5040,25.5,124.3,57.9,19.7,682,390,398,339,6.58,M,right,1
5041,32.2,138,58.2,21.2,720,454,436,356,9.241,M,left,4
5042,34.1,141.9,58.2,23.6,754,463,457,397,9.241,M,right,1
5043,32.6,137.6,59.1,22.1,705,447,443,375,10.386,M,left,3
5044,34.2,140.6,60.2,22.6,755,437,448,379,10.917,M,right,3
5045,44.8,147.7,69,23.3,781,492,477,383,10.72,M,right,1
5046,29.5,133.5,55.4,20.8,684,454,437,366,9.254,M,right,1
5047,22.1,122.7,53.6,18.3,,,,320,7.405,M,right,1
5048,27.6,133.4,57.1,21.3,727,434,416,349,9.23,M,right,3
5049,27.6,133.7,55.6,20.6,738,418,416,344,8.156,M,right,5
5050,37.9,134.4,68,21.3,718,459,446,355,8.487,M,right,2
5051,29.8,136.3,57.8,21,729,455,436,371,8.78,F,right,3
5052,25.4,127.2,52.4,19.4,681,430,407,333,9.019,F,right,1
5053,27.5,129.7,57.5,19.2,697,421,397,344,8.969,F,right,1
5054,28.5,131.4,59.2,20,700,430,401,338,8.989,F,right,3
5055,26.2,130.1,57.1,20.5,715,405,399,335,9.008,F,right,2
5056,23.7,122.8,55.5,19,716,371,358,303,8.498,F,right,3
5057,38.6,149.3,63.8,22.6,753,514,470,396,11.931,F,right,1
5058,26.5,142.6,57.7,22.3,740,464,451,367,11.391,F,right,4
5059,20.6,118,51.6,19,647,364,364,315,5.887,F,right,2
5060,18.8,113,53.6,16.7,613,356,331,290,6.115,F,right,1
5061,15.7,104.4,45.5,16.3,581,333,315,274,6.246,F,right,1
5062,23.6,118,55.7,18.7,673,380,366,301,6.843,F,right,2
5063,27.7,126,59.8,19.7,683,420,396,344,7.263,F,right,1
5064,23,123.6,50.4,18.8,680,401,386,323,7.43,F,right,4
5065,28.6,127.9,59,20.3,699,438,393,336,7.863,F,right,1
5066,32.4,143.5,55.9,22.4,742,469,450,379,11.169,F,right,2
5067,20.7,122,48.7,18.2,654,403,379,328,10.676,F,right,2
5068,39.6,135.3,72.5,21.8,717,453,436,352,10.41,F,right,3
5069,30.5,140.2,58.3,22.1,731,476,437,373,10.364,F,right,1
5070,24.2,122.3,54.4,19.2,657,404,382,323,7.394,F,right,5
5071,24.8,126,55.5,19.6,666,422,400,320,7.435,F,right,2
5072,26.8,134.7,54,20.2,704,452,427,365,9.81,F,right,1
5073,42.8,138.4,76.4,23.2,750,457,439,375,10.254,F,right,2
5074,24.6,121.5,57.9,19,656,403,372,331,9.334,F,right,1
5075,31.1,132.9,61.8,20,693,451,409,332,9.621,F,right,2
5076,16.5,108,49.4,16.4,603,347,327,290,5.386,F,right,1
5077,23.2,115.4,58.7,17.9,620,377,381,291,5.975,F,right,2
6001,25.9,124.6,60.4,19.3,693,409,397,327,7.723,F,right,1
6002,19.6,123.3,52.3,18.5,662,414,377,321,7.506,F,right,1
6004,47.4,149.2,76.3,24.5,777,520,476,408,12.057,F,right,2
